34;36;11;48;42;39;35;21;19;27;19;50;49;26;42;20;39;28;29;47;15;11;40;49;41;16;47;40;33;48;45;11;21
13;42;15;38;36;33;10;31;11;20;25;43;42;26;22;48;40;30;50;25;19;25;34;45;22;40;35;36;26;12;41;39;18
39;28;48;42;33;36;16;28;31;40;18;21;49;14;29;24;26;50;17;34;21;41;39;20;19;47;48;21;18;45;17;46;11
21;24;38;17;37;33;26;23;50;17;27;34;23;34;20;10;23;43;18;14;38;30;44;15;49;28;24;48;19;11;41;44;18
11;39;45;34;50;42;47;10;38;25;12;13;16;10;39;24;22;30;32;16;27;40;42;22;17;36;33;28;35;27;45;42;12
49;37;10;28;29;35;36;31;13;40;38;49;38;47;16;46;30;15;28;50;37;10;17;33;26;41;31;37;45;46;37;48;33
20;45;23;31;35;11;15;38;49;13;17;47;24;37;40;18;26;28;39;46;38;18;47;47;37;32;50;39;39;46;37;10;48
33;46;23;37;43;16;17;17;38;13;46;30;27;15;27;38;10;50;49;26;45;31;24;37;26;36;26;22;22;15;33;25;36
30;11;10;50;32;48;45;14;28;47;39;17;21;30;26;12;34;37;29;47;43;16;44;45;42;35;30;22;39;12;34;14;27
17;38;33;45;20;25;16;33;34;44;50;10;37;33;50;45;45;12;17;20;50;34;36;27;20;48;38;28;25;34;10;35;16
16;32;37;11;28;37;23;17;14;29;42;29;40;19;30;25;24;19;11;31;23;46;34;24;41;40;39;41;22;31;23;20;36
43;23;25;10;35;34;43;10;49;39;24;17;30;25;46;27;26;14;36;22;43;25;24;16;45;16;23;46;14;11;27;28;49
47;41;37;20;10;18;18;47;44;49;21;23;31;39;35;37;21;42;10;13;33;11;50;27;41;14;41;49;26;15;32;11;46
20;11;31;27;21;17;40;28;12;12;21;17;19;50;37;38;37;45;11;43;10;48;24;10;22;10;19;12;21;14;46;26;24
26;27;35;25;29;18;31;48;14;23;11;41;50;21;18;47;45;36;17;29;50;44;39;10;36;22;15;40;36;39;47;38;38
12;49;40;49;15;50;16;48;12;36;37;15;10;24;12;41;21;14;20;34;33;21;43;22;49;48;45;14;12;10;39;29;14
25;41;23;22;42;41;39;16;41;47;47;32;41;28;38;10;16;49;17;34;15;39;18;23;33;35;13;45;46;43;27;41;39
14;39;45;43;47;10;30;27;48;17;14;19;30;36;44;41;12;11;10;50;13;40;16;36;25;40;47;21;27;37;46;14;50
13;18;43;12;49;42;40;29;15;31;19;40;49;15;29;37;31;47;20;15;25;45;48;30;25;18;18;31;24;27;42;49;20
