6;22;12;15;9;14;3;9;10;12;11;23;3;3
14;8;3;6;20;29;15;23;20;3;9;16;3;6
1;13;6;18;16;26;7;18;25;2;8;18;30;26
6;28;21;23;27;11;20;7;28;2;5;9;24;28
20;3;9;13;11;28;4;3;9;25;19;26;23;20
6;18;12;1;14;26;2;4;17;7;14;29;13;23
8;19;24;3;12;18;6;3;19;15;24;13;5;16
11;29;22;23;12;19;7;8;9;13;1;23;27;1
6;6;19;17;20;17;1;19;12;4;7;22;9;2
5;2;7;16;18;30;5;2;10;20;23;3;7;26
15;1;2;9;14;2;6;30;3;13;13;13;21;21
30;27;2;13;6;28;12;3;25;17;13;9;27;11
13;20;5;17;12;30;7;29;26;17;8;6;26;11
12;28;22;16;26;3;5;13;12;12;6;12;17;27
